vegetable,name,variety,start_at,end_at,kilojoules,calories,proteines,glucides,lipides
fruits,pomme,golden,8,12,212,51,0.3,11.7,0.3
fruits,pomme,reinette,8,10,301,72,0.36,19.06,0.23
fruits,pomme,elstar,8,3,301,72,0.36,19.06,0.23
fruits,pomme,golden,8,2,301,72,0.36,19.06,0.23
fruits,pomme,honeycrunch,9,3,301,72,0.36,19.06,0.23
fruits,pomme,jonagold,9,8,301,72,0.36,19.06,0.23
fruits,pomme,jonagored,9,7,301,72,0.36,19.06,0.23
fruits,pomme,golden delicious,9,7,301,72,0.36,19.06,0.23
fruits,pomme,chantecler,10,6,301,72,0.36,19.06,0.23
fruits,pomme,boskoop,10,3,301,72,0.36,19.06,0.23
fruits,pomme,granny-smith,10,4,301,72,0.36,19.06,0.23
fruits,pomme,melrose,10,3,301,72,0.36,19.06,0.23
fruits,pomme,rouge americaine,10,4,301,72,0.36,19.06,0.23
fruits,pomme,tentation,10,4,301,72,0.36,19.06,0.23
fruits,pomme,reinette clochard,10,3,301,72,0.36,19.06,0.23
fruits,pomme,braeburn,11,4,297,71,0.36,19.06,0.24
fruits,pomme,pink lady,11,5,301,72,0.36,19.06,0.23
fruits,pomme,reinette grise du Canada,11,3,301,72,0.36,19.06,0.23
fruits,pomme,jubilee,11,2,301,72,0.36,19.06,0.23
fruits,pomme,idared,1,6,301,72,0.36,19.06,0.23
fruits,pomme,fuji,1,6,297,71,0.36,19.06,0.24
fruits,pomme,gala,9,12,297,71,0.36,19.06,0.24